FID,ogc_fid,company,address,city,state,zip_code,feedstock,capacity (Mgal),,
ethanol_plants_201904.61,61,"Flint Hills Resources, LLC",1214 Road G,Fairmont,NE,68354,Corn,120,,
ethanol_plants_201904.77,77,Green Plains Inc.,87590 Hillcrest Rd.,Atkinson,NE,68713,Corn,55,,
ethanol_plants_201904.79,79,Green Plains Inc.,214 20th Street,Central City,NE,68826,Corn,110,,
ethanol_plants_201904.86,86,Green Plains Inc.,48267 Val-E Road,Ord,NE,68862,Corn,61,,
ethanol_plants_201904.90,90,Green Plains Inc.,7878 S 140th Rd,Wood River,NE,68883,Corn,121,,
ethanol_plants_201904.91,91,Green Plains Inc.,1414 Road O,York,NE,68467,corn,50,,
ethanol_plants_201904.99,99,"Husker Ag, LLC",54048 Hwy 20,Plainview,NE,68759,Corn,76,,
ethanol_plants_201904.103,103,"KAAPA Ethanol, LLC",8450 KAAPA Lane,Minden,NE,68959,Corn,80,,
ethanol_plants_201904.104,104,"KAAPA Ethanol Ravenna, LLC",35955 Navaho Road,Ravenna,NE,68869,Corn,90,,
ethanol_plants_201904.111,111,Louis Dreyfus Commodities (Elkhorn Valley),3002 North Victory Road,Norfolk,NE,68701,Corn,45,,
ethanol_plants_201904.117,117,"Mid-America BioEnergy, LLC",675 E Stone Street,Madrid,NE,69150,Corn,46,,
ethanol_plants_201904.119,119,"Midwest Renewable Energy, LLC",27532 West Hwy 30,Sutherland,NE,69165,Corn,28,,
ethanol_plants_201904.120,120,Nebraska Corn Processing,107 Potter St. ,Cambridge,NE,69022,Corn,44,,
ethanol_plants_201904.131,131,"Pacific Ethanol, Inc.",1205 South O Road,Aurora,NE,68818,Corn,45,,
ethanol_plants_201904.132,132,"Pacific Ethanol, Inc.",2103 Harvest Drive,Aurora,NE,68818,Corn,110,,
ethanol_plants_201904.179,179,Siouxland Ethanol,1501 Knox Blvd.,Jackson,NE,68743,Corn,80,,
ethanol_plants_201904.192,192,"Trenton Agri Products, LLC",36638 US Highway 34,Trenton,NE,69044,Corn,40,,
ethanol_plants_201904.196,196,Valero Renewable Fuels,2615 260th St,Albion,NE,68620,Corn,130,,
ethanol_plants_201904.184,184,Sunoco Ethanol,100 N. 2nd St.,Fulton,NY,13069,Corn,85,,
ethanol_plants_201904.207,207,"Western New York Energy, LLC",4141 Bates Rd.,Medina,NY,14103,Corn,65,,
ethanol_plants_201904.94,94,"Guardian Lima, LLC",2485 Houx Parkway,"Lima, OH",OH,45804,Corn,54,,
ethanol_plants_201904.149,149,POET Biorefining - Fostoria,2111 Sandusky St.,Fostoria,OH,44830,Corn,68,,
